VendorID,passenger_count,trip_distance,PULocationID,DOLocationID,payment_type,fare_amount,tip_amount,day_night,payment_type_1,payment_type_2,payment_type_3,payment_type_4,tip_rate_20
1,1,3.2,236,164,2,27.0,0.0,1,0,1,0,0,0
2,5,0.37,161,162,1,4.5,1.32,1,1,0,0,0,1
2,1,0.97,163,162,1,7.5,1.66,1,1,0,0,0,1
1,1,4.9,233,87,2,21.0,0.0,1,0,1,0,0,0
1,1,2.5,249,161,1,17.5,1.0,1,1,0,0,0,0
1,1,0.8,234,113,1,8.5,1.86,1,1,0,0,0,1
2,1,3.57,13,65,1,12.0,2.56,1,1,0,0,0,1
2,1,0.45,90,90,2,8.5,0.0,1,0,1,0,0,0
2,5,0.69,233,170,1,9.0,0.0,1,1,0,0,0,0
2,1,6.33,140,87,1,23.0,5.95,1,1,0,0,0,1
1,1,1.5,230,233,2,13.5,0.0,1,0,1,0,0,0
1,1,0.6,229,161,1,6.5,1.45,1,1,0,0,0,1
1,1,1.6,186,163,1,13.5,4.25,1,1,0,0,0,1
2,1,0.61,162,141,1,4.5,1.06,1,1,0,0,0,1
1,3,11.9,161,138,2,39.0,0.0,1,0,1,0,0,0
2,1,1.74,239,237,2,13.5,0.0,1,0,1,0,0,0
1,1,0.8,161,164,1,5.5,1.25,1,1,0,0,0,1
2,1,6.06,164,88,1,24.0,4.96,1,1,0,0,0,1
1,1,0.8,68,90,1,20.0,4.15,1,1,0,0,0,1
2,5,1.65,100,163,2,11.5,0.0,1,0,1,0,0,0
1,1,3.1,262,170,1,15.0,2.37,1,1,0,0,0,0
1,0,2.1,264,264,1,12.5,2.65,1,1,0,0,0,1
1,1,1.0,142,230,1,8.0,1.75,1,1,0,0,0,1
2,2,5.86,68,88,1,26.5,5.46,1,1,0,0,0,1
1,1,1.6,48,142,2,11.0,0.0,1,0,1,0,0,0
2,1,0.9,233,161,2,9.5,0.0,1,0,1,0,0,0
2,1,5.5,79,239,2,27.5,0.0,1,0,1,0,0,0
1,1,1.4,107,164,1,15.0,3.15,1,1,0,0,0,1
2,1,0.91,249,234,2,7.0,0.0,1,0,1,0,0,0
1,2,0.8,231,158,2,5.5,0.0,1,0,1,0,0,0
2,1,1.03,238,236,2,6.0,0.0,1,0,1,0,0,0
1,1,1.0,161,164,1,6.0,2.0,1,1,0,0,0,1
1,1,0.6,163,163,2,8.5,0.0,1,0,1,0,0,0
2,2,1.9,161,107,1,11.5,2.46,1,1,0,0,0,1
1,1,0.9,65,65,2,7.0,0.0,1,0,1,0,0,0
1,1,6.3,88,43,2,22.0,0.0,1,0,1,0,0,0
2,1,0.93,43,161,1,8.5,1.86,1,1,0,0,0,1
2,1,1.94,231,4,1,10.0,3.24,1,1,0,0,0,1
2,1,0.79,236,236,2,12.5,0.0,1,0,1,0,0,0
2,1,2.5,140,239,1,13.0,2.76,1,1,0,0,0,1
2,2,1.29,161,186,1,12.5,1.5,1,1,0,0,0,0
1,1,0.5,161,162,2,6.5,0.0,1,0,1,0,0,0
2,1,3.15,236,50,1,13.0,2.76,1,1,0,0,0,1
1,1,3.0,125,170,1,20.5,4.25,1,1,0,0,0,1
1,1,0.6,75,75,2,4.0,0.0,1,0,1,0,0,0
2,1,0.49,170,137,2,3.5,0.0,1,0,1,0,0,0
1,2,2.8,211,170,1,22.0,4.55,1,1,0,0,0,1
1,1,1.8,161,234,1,14.5,3.8,1,1,0,0,0,1
1,1,0.8,263,141,1,6.5,1.0,1,1,0,0,0,0
2,6,1.32,170,161,2,13.5,0.0,1,0,1,0,0,0
2,6,1.16,170,79,1,9.0,1.5,1,1,0,0,0,0
1,1,1.1,238,166,2,6.0,0.0,1,0,1,0,0,0
2,1,1.84,107,164,2,16.5,0.0,1,0,1,0,0,0
1,1,0.8,114,113,1,6.0,1.7,1,1,0,0,0,1
1,1,2.4,141,238,1,14.0,1.0,1,1,0,0,0,0
2,1,0.71,229,163,1,9.5,1.0,1,1,0,0,0,0
1,1,4.0,142,158,1,21.5,5.55,1,1,0,0,0,1
1,2,4.4,231,230,1,21.5,4.45,1,1,0,0,0,1
2,2,1.82,43,48,2,19.0,0.0,1,0,1,0,0,0
2,2,0.77,164,234,2,8.0,0.0,1,0,1,0,0,0
1,1,1.1,141,233,1,7.0,1.0,1,1,0,0,0,0
1,1,0.7,170,161,1,9.0,1.95,1,1,0,0,0,1
1,1,10.1,140,138,1,31.0,1.0,1,1,0,0,0,0
2,1,1.46,100,68,2,7.5,0.0,1,0,1,0,0,0
1,1,2.5,264,264,1,11.5,3.65,1,1,0,0,0,1
1,3,0.6,234,170,1,8.0,1.75,1,1,0,0,0,1
2,1,1.27,230,246,1,7.0,1.56,1,1,0,0,0,1
2,6,1.29,164,161,1,14.0,2.96,1,1,0,0,0,1
2,1,1.78,234,230,1,21.5,4.46,1,1,0,0,0,1
2,1,19.66,132,262,1,52.0,11.71,1,1,0,0,0,1
2,3,2.02,43,237,2,15.5,0.0,1,0,1,0,0,0
1,1,1.4,186,107,2,13.0,0.0,1,0,1,0,0,0
1,1,2.5,100,141,2,12.5,0.0,1,0,1,0,0,0
2,1,1.27,43,140,1,9.5,1.5,1,1,0,0,0,0
2,1,5.53,161,88,2,22.5,0.0,1,0,1,0,0,0
2,1,0.84,170,233,2,11.5,0.0,1,0,1,0,0,0
2,1,7.83,138,233,1,24.5,6.21,1,1,0,0,0,1
2,2,2.98,238,162,1,17.5,4.58,1,1,0,0,0,1
2,2,1.74,186,163,2,12.0,0.0,1,0,1,0,0,0
1,1,1.8,90,230,1,12.5,2.65,1,1,0,0,0,1
1,1,0.6,162,141,2,4.5,0.0,1,0,1,0,0,0
1,1,1.4,186,163,2,15.0,0.0,1,0,1,0,0,0
2,1,0.0,163,163,2,2.5,0.0,1,0,1,0,0,0
1,1,0.0,145,145,2,2.5,0.0,1,0,1,0,0,0
2,1,3.12,161,144,2,16.5,0.0,1,0,1,0,0,0
2,4,0.71,68,234,1,8.0,1.76,1,1,0,0,0,1
2,1,18.78,132,116,2,52.0,0.0,1,0,1,0,0,0
1,1,2.4,100,236,1,20.0,4.15,1,1,0,0,0,1
1,1,2.3,143,141,2,13.0,0.0,1,0,1,0,0,0
2,1,1.97,107,161,1,14.0,2.96,1,1,0,0,0,1
2,3,2.52,144,164,1,15.5,4.89,1,1,0,0,0,1
1,1,0.5,163,230,2,5.0,0.0,1,0,1,0,0,0
1,1,1.4,162,246,1,10.0,2.15,1,1,0,0,0,1
2,2,0.84,113,114,2,6.0,0.0,1,0,1,0,0,0
2,1,6.2,132,134,2,22.0,0.0,1,0,1,0,0,0
2,2,0.38,237,162,1,4.5,0.22,1,1,0,0,0,0
1,1,0.4,233,233,2,4.0,0.0,1,0,1,0,0,0
1,1,1.0,163,233,2,8.0,0.0,1,0,1,0,0,0
1,2,17.4,230,132,2,52.0,0.0,1,0,1,0,0,0
1,1,1.7,142,164,2,10.5,0.0,1,0,1,0,0,0
1,1,2.4,79,68,1,13.0,2.0,1,1,0,0,0,0
2,5,1.01,236,236,1,9.0,0.0,1,1,0,0,0,0
1,1,0.7,262,237,1,7.0,3.0,1,1,0,0,0,1
1,2,0.9,143,163,1,6.5,1.45,1,1,0,0,0,1
1,1,0.8,237,236,1,8.0,2.6,1,1,0,0,0,1
1,0,1.6,158,164,2,9.5,0.0,1,0,1,0,0,0
2,6,2.0,236,239,2,14.0,0.0,1,0,1,0,0,0
2,1,3.31,249,161,1,21.0,3.0,1,1,0,0,0,0
2,1,0.81,234,79,1,6.5,1.82,1,1,0,0,0,1
2,2,1.28,246,164,2,12.0,0.0,1,0,1,0,0,0
2,2,2.73,263,142,1,13.5,2.86,1,1,0,0,0,1
2,1,1.42,238,166,1,7.0,1.56,1,1,0,0,0,1
2,2,1.27,234,114,1,8.0,1.76,1,1,0,0,0,1
1,1,0.7,236,140,1,10.5,2.0,1,1,0,0,0,0
2,2,0.62,236,237,1,5.5,1.0,1,1,0,0,0,0
1,1,1.7,238,163,1,9.0,1.95,1,1,0,0,0,1
1,1,0.0,132,132,3,2.5,0.0,1,0,0,1,0,0
1,1,9.0,161,138,1,29.0,7.1,1,1,0,0,0,1
